runId,createdAtIso,pairingId,condition,turnsRequested,maxIters,turnsCompleted,loopIterationsTotal,loopTurnIterationsPresent,totalLatencyMs,questionId,bloomLevel,difficulty,topicTag,courseLevel,skillTag,choicesCount,correctChoiceIndex,problemStatementLength,referenceAnswerLength,transcriptMessages,transcriptStudentMessages,transcriptTutorMessages,transcriptCharsTotal,transcriptCharsStudent,transcriptCharsTutor,studentTurns,attackLevelMin,attackLevelMax,attackLevelMean,turnJudgmentsCount,tutorDraftsCount,supervisorVerdictsCount,callsCount,callErrorsCount,callsGenerateText,callsGenerateObject,callDurationSumMs,usageInputTokensSum,usageOutputTokensSum,usageTotalTokensSum,usageReasoningTokensSum,usageCachedInputTokensSum,judgeLeakage,judgeHallucination,judgeCompliance
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,42287,canterbury-633220,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,115,52,12,6,6,4534,2104,2430,6,1,6,3.5,6,6,6,25,0,6,19,42283,31719,2438,34157,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,6,,False,30963,canterbury-632313,1,easy,TopicWG-ADT-Queue-DefInterfaceUse,CS2,Skill-PureKnowledgeRecall,5,3,29,169,12,6,6,4067,1727,2340,6,1,6,3.5,6,0,0,19,0,6,13,30957,24072,1868,25940,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gemini,dual-loop,6,5,6,6,True,68676,canterbury-633220,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,115,52,12,6,6,4793,2100,2693,6,1,6,3.5,6,6,6,25,0,6,19,68673,33029,3819,36848,1288,2304,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,1,,False,10247,canterbury-630974,2,easy,TopicSimon-LogicalOperators,CS1,Skill-ExplainCode,5,3,285,445,2,1,1,597,158,439,1,1,1,1.0,1,0,0,4,0,1,3,10245,3879,599,4478,146,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,6,6,True,92658,canterbury-633220,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,115,52,12,6,6,4617,2057,2560,6,1,6,3.5,6,6,6,25,0,6,19,92652,31640,4534,36174,2040,4736,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gemini,dual-loop,6,5,6,7,True,62949,canterbury-632313,1,easy,TopicWG-ADT-Queue-DefInterfaceUse,CS2,Skill-PureKnowledgeRecall,5,3,29,169,12,6,6,4332,2042,2290,6,1,6,3.5,6,7,7,27,0,7,20,62944,34541,3440,37981,723,2176,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,41796,canterbury-632313,1,easy,TopicWG-ADT-Queue-DefInterfaceUse,CS2,Skill-PureKnowledgeRecall,5,3,29,169,12,6,6,4110,1784,2326,6,1,6,3.5,6,6,6,25,0,6,19,41796,31925,2361,34286,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,6,,False,31605,canterbury-630974,2,easy,TopicSimon-LogicalOperators,CS1,Skill-ExplainCode,5,3,285,445,12,6,6,4391,2108,2283,6,1,6,3.5,6,0,0,19,0,6,13,31603,25834,2027,27861,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gpt,dual-loop,6,5,6,8,True,76823,canterbury-632313,1,easy,TopicWG-ADT-Queue-DefInterfaceUse,CS2,Skill-PureKnowledgeRecall,5,3,29,169,12,6,6,3792,1730,2062,6,1,6,3.5,6,8,8,29,0,8,21,76820,36501,4172,40673,1148,3840,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,2,,False,16434,canterbury-633296,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,123,24,4,2,2,1145,485,660,2,1,2,1.5,2,0,0,7,0,2,5,16432,6720,1051,7771,290,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gpt,dual-loop,6,5,6,6,True,55842,canterbury-630974,2,easy,TopicSimon-LogicalOperators,CS1,Skill-ExplainCode,5,3,285,445,12,6,6,4734,2233,2501,6,1,6,3.5,6,6,6,25,0,6,19,55836,34583,3067,37650,656,3712,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,42304,canterbury-630974,2,easy,TopicSimon-LogicalOperators,CS1,Skill-ExplainCode,5,3,285,445,12,6,6,4454,2373,2081,6,1,6,3.5,6,6,6,25,0,6,19,42299,33917,2414,36331,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gemini,dual-loop,6,5,6,8,True,80167,canterbury-630974,2,easy,TopicSimon-LogicalOperators,CS1,Skill-ExplainCode,5,3,285,445,12,6,6,4790,2389,2401,6,1,6,3.5,6,8,8,29,0,8,21,80163,41727,4604,46331,1339,3712,False,False,True
